District,DMA,Channel,Week,Percent Of State,Dem GRPs,Rep GRPs,Net GRPs,Cost Per Impression,CPPs,Value Per Dollar,Change In State Voteshare,Change In DMA Voteshare,Forecasted Cand Dem GRPs,Forecasted Cand Rep GRPs,Cost,Cumulative,Speculative,Speculative -  Value Per Dollar
NE_class_2,Omaha NE,Digital,2020-10-20,49.4%,0,0,0,.025,187,.000,.32%,.65%,0,0,"$93,574.3",,1,.000
NE_class_2,Omaha NE,Digital,2020-10-27,49.4%,0,0,0,.025,187,.000,.28%,.57%,0,0,"$93,574.3",,1,.000
NE_class_2,Lincoln & Hastings-Kearney NE,Digital,2020-10-20,38.2%,0,0,0,.025,142,.000,.25%,.65%,0,0,"$71,159.1",,1,.000
NE_class_2,Lincoln & Hastings-Kearney NE,Digital,2020-10-27,38.2%,0,0,0,.025,142,.000,.22%,.57%,0,0,"$71,159.1",,1,.000
NE_class_2,Sioux Falls (Mitchell) SD,Digital,2020-10-20,.3%,0,0,0,.025,1,.000,.00%,.65%,0,0,$601.6,,1,.000
NE_class_2,Sioux Falls (Mitchell) SD,Digital,2020-10-27,.3%,0,0,0,.025,1,.000,.00%,.57%,0,0,$601.6,,1,.000
NE_class_2,North Platte NE,Digital,2020-10-20,2.0%,0,0,0,.025,8,.000,.01%,.65%,0,0,"$3,938.6",,1,.000
NE_class_2,North Platte NE,Digital,2020-10-27,2.0%,0,0,0,.025,8,.000,.01%,.57%,0,0,"$3,938.6",,1,.000
NE_class_2,Denver CO,Digital,2020-10-20,3.0%,0,0,0,.025,13,.000,.02%,.65%,0,0,"$6,546.8",,1,.000
NE_class_2,Denver CO,Digital,2020-10-27,3.0%,0,0,0,.025,13,.000,.02%,.57%,0,0,"$6,546.8",,1,.000
NE_class_2,Cheyenne WY-Scottsbluff NE,Digital,2020-10-20,2.0%,0,0,0,.025,8,.000,.01%,.65%,0,0,"$3,860.4",,1,.000
NE_class_2,Cheyenne WY-Scottsbluff NE,Digital,2020-10-27,2.0%,0,0,0,.025,8,.000,.01%,.57%,0,0,"$3,860.4",,1,.000
OK_class_2,Joplin MO-Pittsburg KS,Digital,2020-10-20,.8%,0,0,0,.025,6,.000,.00%,.39%,561.53265,1756,"$2,995.5",,0,.000
OK_class_2,Joplin MO-Pittsburg KS,Digital,2020-10-27,.8%,0,0,0,.025,6,.000,.00%,.37%,121.11842,1401,"$2,995.5",,0,.000
OK_class_2,Shreveport LA,Digital,2020-10-20,.7%,0,0,0,.025,5,.000,.00%,.39%,629.8267,1808,"$2,554.1",,0,.000
OK_class_2,Shreveport LA,Digital,2020-10-27,.7%,0,0,0,.025,5,.000,.00%,.37%,186.95708,1435,"$2,554.1",,0,.000
